sample-id,absolute-filepath,direction
##
## Start of ProjK set
17NzAkPkr01g,$PWD/fastq/NZprojK95DHA01_S122_L001_R1_001.fastq,forward
17NzAkPkr01g,$PWD/fastq/NZprojK95DHA01_S122_L001_R2_001.fastq,reverse
C2,$PWD/fastq/NZprojK95DHA02_S123_L001_R1_001.fastq,forward
C2,$PWD/fastq/NZprojK95DHA02_S123_L001_R2_001.fastq,reverse
K60b,$PWD/fastq/NZprojK95DHA06_S124_L001_R1_001.fastq,forward
K60b,$PWD/fastq/NZprojK95DHA06_S124_L001_R2_001.fastq,reverse
17NzWnNev21g,$PWD/fastq/NZprojK95DHA07_S125_L001_R1_001.fastq,forward
17NzWnNev21g,$PWD/fastq/NZprojK95DHA07_S125_L001_R2_001.fastq,reverse
## K58b replaced K59b
K58b,$PWD/fastq/NZprojK95DHA08_S126_L001_R1_001.fastq,forward
K58b,$PWD/fastq/NZprojK95DHA08_S126_L001_R2_001.fastq,reverse
17NzBrMrv01g,$PWD/fastq/NZprojK95DHA09_S127_L001_R1_001.fastq,forward
17NzBrMrv01g,$PWD/fastq/NZprojK95DHA09_S127_L001_R2_001.fastq,reverse
K16g,$PWD/fastq/NZprojK95DHA10_S128_L001_R1_001.fastq,forward
K16g,$PWD/fastq/NZprojK95DHA10_S128_L001_R2_001.fastq,reverse
K26g,$PWD/fastq/NZprojK95DHA11_S129_L001_R1_001.fastq,forward
K26g,$PWD/fastq/NZprojK95DHA11_S129_L001_R2_001.fastq,reverse
K35g,$PWD/fastq/NZprojK95DHA12_S130_L001_R1_001.fastq,forward
K35g,$PWD/fastq/NZprojK95DHA12_S130_L001_R2_001.fastq,reverse
K43r,$PWD/fastq/NZprojK95DHB02_S131_L001_R1_001.fastq,forward
K43r,$PWD/fastq/NZprojK95DHB02_S131_L001_R2_001.fastq,reverse
K58r,$PWD/fastq/NZprojK95DHB03_S132_L001_R1_001.fastq,forward
K58r,$PWD/fastq/NZprojK95DHB03_S132_L001_R2_001.fastq,reverse
K64g,$PWD/fastq/NZprojK95DHB04_S133_L001_R1_001.fastq,forward
K64g,$PWD/fastq/NZprojK95DHB04_S133_L001_R2_001.fastq,reverse
K17g,$PWD/fastq/NZprojK95DHB05_S134_L001_R1_001.fastq,forward
K17g,$PWD/fastq/NZprojK95DHB05_S134_L001_R2_001.fastq,reverse
## K57r replaced K47r
K57r,$PWD/fastq/NZprojK95DHB07_S135_L001_R1_001.fastq,forward
K57r,$PWD/fastq/NZprojK95DHB07_S135_L001_R2_001.fastq,reverse
# K47r replaced K31g
K47r,$PWD/fastq/NZprojK95DHB08_S136_L001_R1_001.fastq,forward
K47r,$PWD/fastq/NZprojK95DHB08_S136_L001_R2_001.fastq,reverse
# K31g replaced K57r
K31g,$PWD/fastq/NZprojK95DHB09_S137_L001_R1_001.fastq,forward
K31g,$PWD/fastq/NZprojK95DHB09_S137_L001_R2_001.fastq,reverse
17NzBrMat01g,$PWD/fastq/NZprojK95DHB10_S138_L001_R1_001.fastq,forward
17NzBrMat01g,$PWD/fastq/NZprojK95DHB10_S138_L001_R2_001.fastq,reverse
K53r,$PWD/fastq/NZprojK95DHB11_S139_L001_R1_001.fastq,forward
K53r,$PWD/fastq/NZprojK95DHB11_S139_L001_R2_001.fastq,reverse
K15g,$PWD/fastq/NZprojK95DHB12_S140_L001_R1_001.fastq,forward
K15g,$PWD/fastq/NZprojK95DHB12_S140_L001_R2_001.fastq,reverse
K49gr1,$PWD/fastq/NZprojK95DHC03_S141_L001_R1_001.fastq,forward
K49gr1,$PWD/fastq/NZprojK95DHC03_S141_L001_R2_001.fastq,reverse
K60r,$PWD/fastq/NZprojK95DHC04_S142_L001_R1_001.fastq,forward
